iter	Passed	Remaining
408	5570	35191
409	5582	35172
410	5597	35164
411	5610	35145
412	5625	35141
413	5638	35124
414	5651	35108
415	5665	35098
416	5677	35070
417	5688	35042
418	5700	35018
419	5711	34987
420	5724	34973
421	5736	34948
422	5748	34928
423	5761	34905
424	5773	34882
425	5786	34866
426	5797	34838
427	5808	34810
428	5820	34786
429	5832	34762
430	5844	34739
431	5856	34719
432	5867	34690
433	5879	34668
434	5891	34642
435	5903	34624
436	5917	34610
437	5930	34597
438	5941	34565
439	5952	34540
440	5965	34524
441	5977	34499
442	5988	34472
443	6000	34450
444	6012	34427
445	6025	34410
446	6037	34386
447	6048	34362
448	6060	34335
449	6072	34316
450	6086	34303
451	6099	34291
452	6112	34272
453	6123	34245
454	6136	34231
455	6156	34252
456	6174	34265
457	6187	34246
458	6201	34235
459	6212	34210
460	6225	34195
461	6237	34172
462	6251	34160
463	6265	34149
464	6277	34125
465	6289	34108
466	6302	34089
467	6314	34069
468	6328	34057
469	6341	34039
470	6355	34028
471	6367	34008
472	6378	33984
473	6389	33957
474	6403	33945
475	6417	33935
476	6429	33912
477	6441	33890
478	6454	33877
479	6469	33868
480	6483	33860
481	6496	33841
482	6509	33825
483	6521	33804
484	6533	33783
485	6545	33766
486	6557	33744
487	6569	33722
488	6581	33702
489	6593	33679
490	6605	33659
491	6617	33638
492	6629	33618
493	6640	33594
494	6652	33571
495	6665	33558
496	6677	33535
497	6688	33511
498	6700	33487
499	6711	33465
500	6724	33449
501	6735	33423
502	6747	33400
503	6759	33381
504	6771	33362
505	6784	33347
506	6796	33326
507	6809	33308
508	6822	33293
509	6834	33272
510	6851	33276
511	6862	33254
512	6875	33238
513	6885	33210
514	6897	33188
515	6910	33173
516	6921	33150
517	6932	33124
518	6944	33104
519	6956	33085
520	6970	33074
521	6981	33046
522	6992	33021
523	7003	32997
524	7014	32974
525	7027	32962
526	7039	32940
527	7049	32912
528	7061	32890
529	7073	32873
530	7087	32860
531	7098	32838
532	7110	32817
533	7122	32795
534	7132	32770
535	7145	32755
536	7157	32734
537	7169	32714
538	7180	32690
539	7191	32669
540	7204	32654
541	7216	32632
542	7228	32612
543	7240	32594
544	7253	32578
545	7265	32563
546	7276	32538
547	7288	32518
548	7299	32494
549	7310	32471
550	7322	32453
551	7334	32432
552	7345	32408
553	7356	32387
554	7368	32367
555	7382	32356
556	7393	32337
