case:concept:name,simulations,n_match,any_match,all_match
20191002483,10,9,True,False
20191002503,10,10,True,True
20191002511,10,10,True,True
20191002521,10,10,True,True
20191002534,10,9,True,False
20191002537,10,10,True,True
20191002706,10,10,True,True
20191002742,10,10,True,True
20191002745,10,10,True,True
20191002751,10,10,True,True
20191002759,10,10,True,True
20191002920,10,10,True,True
20191002939,10,10,True,True
20191002953,10,10,True,True
20191002956,10,10,True,True
20191002981,10,10,True,True
20191003000,10,10,True,True
20191003019,10,10,True,True
20191003043,10,10,True,True
20191003077,10,10,True,True
20191003263,10,10,True,True
20191003312,10,10,True,True
20191003315,10,10,True,True
20191003440,10,10,True,True
20191003465,10,10,True,True
20191003502,10,10,True,True
20191003540,10,10,True,True
20191003568,10,10,True,True
20191003594,10,10,True,True
20191003680,10,10,True,True
20191003699,10,10,True,True
20191003724,10,10,True,True
20191003755,10,10,True,True
20191003756,10,10,True,True
20191003759,10,10,True,True
20191003785,10,10,True,True
20191003861,10,10,True,True
20191003909,10,10,True,True
20191003938,10,10,True,True
20191004011,10,10,True,True
20191004025,10,10,True,True
20191004038,10,10,True,True
20191004043,10,10,True,True
20191004048,10,10,True,True
20191004109,10,10,True,True
20191004146,10,10,True,True
20191004208,10,10,True,True
20191004220,10,10,True,True
20191004224,10,10,True,True
20191004227,10,10,True,True
20191004251,10,10,True,True
20191004267,10,10,True,True
20191004286,10,10,True,True
20191004364,10,10,True,True
20191004374,10,10,True,True
20191004402,10,10,True,True
20191004432,10,10,True,True
20191004440,10,10,True,True
20191004500,10,10,True,True
20191004550,10,10,True,True
20191004556,10,10,True,True
20191004566,10,10,True,True
20191004680,10,10,True,True
20191004710,10,10,True,True
20191004805,10,10,True,True
20191004843,10,10,True,True
20191004854,10,10,True,True
20191004869,10,10,True,True
20191004891,10,10,True,True
20191004909,10,10,True,True
20191004957,10,10,True,True
20191004983,10,10,True,True
20191005120,10,10,True,True
20191005134,10,10,True,True
20191005248,10,10,True,True
20191005294,10,10,True,True
20191005303,10,10,True,True
20191005314,10,10,True,True
20191005347,10,10,True,True
20191005360,10,10,True,True
20191005375,10,10,True,True
20191005395,10,10,True,True
20191005409,10,10,True,True
20191005427,10,10,True,True
20191005428,10,10,True,True
20191005462,10,10,True,True
20191005480,10,10,True,True
20191005537,10,10,True,True
20191005557,10,10,True,True
20191005567,10,10,True,True
20191005632,10,10,True,True
20191005637,10,8,True,False
20191005681,10,10,True,True
20191005698,10,10,True,True
20191005733,10,10,True,True
20191005769,10,10,True,True
20191005838,10,10,True,True
20191005903,10,10,True,True
20191005922,10,10,True,True
20191005924,10,10,True,True
20191005966,10,10,True,True
20191006023,10,9,True,False
20191006058,10,10,True,True
20191006064,10,10,True,True
20191006077,10,10,True,True
20191006078,10,10,True,True
20191006098,10,8,True,False
20191006110,10,10,True,True
20191006142,10,10,True,True
20191006145,10,10,True,True
20191006188,10,10,True,True
20191006203,10,10,True,True
20191006207,10,8,True,False
20191006210,10,10,True,True
20191006217,10,10,True,True
20191006233,10,10,True,True
20191006273,10,10,True,True
20191006292,10,10,True,True
20191006301,10,10,True,True
20191006309,10,10,True,True
20191006333,10,10,True,True
20191006358,10,10,True,True
20191006382,10,10,True,True
20191006394,10,10,True,True
20191006436,10,10,True,True
20191006502,10,7,True,False
20191006520,10,10,True,True
20191006539,10,10,True,True
20191006585,10,10,True,True
20191006608,10,10,True,True
20191006655,10,10,True,True
20191006661,10,10,True,True
20191006747,10,9,True,False
20191006756,10,10,True,True
20191006771,10,10,True,True
20191006784,10,10,True,True
20191006788,10,10,True,True
20191006789,10,10,True,True
20191006870,10,10,True,True
20191006871,10,10,True,True
20191006880,10,10,True,True
20191006886,10,10,True,True
20191006920,10,9,True,False
20191006922,10,10,True,True
20191006956,10,10,True,True
20191006987,10,10,True,True
20191007056,10,10,True,True
20191007068,10,10,True,True
20191007079,10,10,True,True
20191007149,10,10,True,True
20191007166,10,10,True,True
20191007291,10,10,True,True
20191007305,10,10,True,True
20191007344,10,10,True,True
20191007413,10,10,True,True
20191007453,10,10,True,True
20191007463,10,10,True,True
20191007469,10,10,True,True
20191007472,10,10,True,True
20191007481,10,10,True,True
20191007501,10,10,True,True
20191007510,10,10,True,True
20191007558,10,9,True,False
20191007560,10,10,True,True
20191007564,10,10,True,True
20191007570,10,10,True,True
20191007587,10,10,True,True
20191007597,10,10,True,True
20191007623,10,10,True,True
20191007651,10,10,True,True
20191007666,10,10,True,True
20191007668,10,10,True,True
20191007674,10,10,True,True
20191007718,10,10,True,True
20191007810,10,10,True,True
20191007859,10,10,True,True
20191007866,10,10,True,True
20191007873,10,10,True,True
20191007894,10,10,True,True
20191007895,10,10,True,True
20191007901,10,10,True,True
20191007903,10,10,True,True
20191007908,10,10,True,True
20191007911,10,10,True,True
20191007912,10,10,True,True
20191007948,10,10,True,True
20191007964,10,10,True,True
20191007970,10,10,True,True
20191007975,10,10,True,True
20191007993,10,10,True,True
20191008000,10,10,True,True
20191008019,10,10,True,True
20191008041,10,10,True,True
20191008066,10,10,True,True
20191008071,10,10,True,True
20191008074,10,10,True,True
20191008076,10,10,True,True
20191008079,10,10,True,True
20191008080,10,10,True,True
20191008096,10,10,True,True
20191008111,10,10,True,True
20191008116,10,10,True,True
20191008140,10,10,True,True
20191008155,10,10,True,True
20191008169,10,10,True,True
20191008273,10,10,True,True
20191008283,10,10,True,True
20191008295,10,10,True,True
20191008323,10,10,True,True
20191008334,10,10,True,True
20191008335,10,10,True,True
20191008349,10,10,True,True
20191008358,10,10,True,True
20191008359,10,10,True,True
20191008362,10,10,True,True
20191008363,10,10,True,True
20191008378,10,10,True,True
20191008380,10,10,True,True
20191008388,10,10,True,True
20191008393,10,10,True,True
20191008402,10,10,True,True
20191008415,10,10,True,True
20191008420,10,10,True,True
20191008442,10,10,True,True
20191008443,10,9,True,False
20191008445,10,10,True,True
20191008446,10,10,True,True
20191008456,10,10,True,True
20191008469,10,10,True,True
20191008473,10,10,True,True
20191008481,10,10,True,True
20191008500,10,10,True,True
20191008537,10,10,True,True
20191008564,10,10,True,True
20191008566,10,10,True,True
20191008612,10,10,True,True
20191008645,10,9,True,False
20191008646,10,10,True,True
20191008668,10,10,True,True
20191008691,10,10,True,True
20191008693,10,10,True,True
20191008720,10,10,True,True
20191008742,10,10,True,True
20191008751,10,10,True,True
20191008755,10,10,True,True
20191008774,10,10,True,True
20191008797,10,10,True,True
20191008808,10,10,True,True
20191008812,10,10,True,True
20191008816,10,10,True,True
20191008827,10,10,True,True
20191008833,10,10,True,True
20191008838,10,10,True,True
20191008840,10,10,True,True
20191008846,10,10,True,True
20191008862,10,10,True,True
20191008891,10,4,True,False
20191008913,10,10,True,True
20191008924,10,10,True,True
20191008932,10,10,True,True
20191008940,10,10,True,True
20191008960,10,10,True,True
20191008965,10,10,True,True
20191008973,10,10,True,True
20191008981,10,10,True,True
20191008983,10,10,True,True
20191008985,10,10,True,True
20191008989,10,10,True,True
20191008994,10,10,True,True
20191008995,10,10,True,True
20191009007,10,10,True,True
20191009021,10,10,True,True
20191009058,10,10,True,True
20191009071,10,10,True,True
20191009078,10,10,True,True
20191009080,10,10,True,True
20191009081,10,10,True,True
20191009087,10,10,True,True
20191009105,10,10,True,True
20191009106,10,10,True,True
20191009120,10,10,True,True
20191009140,10,10,True,True
20191009168,10,9,True,False
20191009183,10,10,True,True
20191009224,10,10,True,True
20191009239,10,10,True,True
20191009269,10,10,True,True
20191009273,10,10,True,True
20191009284,10,10,True,True
20191009285,10,10,True,True
20191009303,10,10,True,True
20191009316,10,10,True,True
20191009322,10,10,True,True
20191009331,10,10,True,True
20191009378,10,4,True,False
20191009379,10,10,True,True
20191009382,10,9,True,False
20191009391,10,10,True,True
20191009423,10,10,True,True
20191009426,10,6,True,False
20191009436,10,10,True,True
20191009437,10,10,True,True
20191009442,10,10,True,True
20191009443,10,10,True,True
20191009445,10,10,True,True
20191009465,10,10,True,True
20191009485,10,10,True,True
20191009496,10,10,True,True
20191009505,10,10,True,True
20191009519,10,10,True,True
20191009524,10,10,True,True
20191009525,10,10,True,True
20191009535,10,10,True,True
20191009542,10,10,True,True
20191009581,10,10,True,True
20191009585,10,10,True,True
20191009592,10,10,True,True
20191009599,10,10,True,True
20191009616,10,10,True,True
20191009626,10,10,True,True
20191009630,10,10,True,True
20191009638,10,10,True,True
20191009677,10,8,True,False
20191009680,10,10,True,True
20191009681,10,10,True,True
20191009686,10,10,True,True
20191009711,10,10,True,True
20191009713,10,10,True,True
20191009721,10,10,True,True
20191009722,10,10,True,True
20191009727,10,10,True,True
20191009734,10,10,True,True
20191009739,10,10,True,True
20191009759,10,10,True,True
20191009788,10,10,True,True
20191009789,10,10,True,True
20191009797,10,10,True,True
20191009815,10,10,True,True
20191009817,10,9,True,False
20191009819,10,10,True,True
20191009830,10,10,True,True
20191009831,10,10,True,True
20191009836,10,10,True,True
20191009841,10,10,True,True
20191009850,10,10,True,True
20191009868,10,10,True,True
20191009939,10,10,True,True
20191009945,10,10,True,True
20191009948,10,10,True,True
20191009969,10,10,True,True
20191009973,10,10,True,True
20191009979,10,10,True,True
20191009982,10,10,True,True
20191009984,10,10,True,True
20191010024,10,10,True,True
20191010030,10,10,True,True
20191010039,10,10,True,True
20191010046,10,10,True,True
20191010048,10,10,True,True
20191010053,10,10,True,True
20191010054,10,10,True,True
20191010056,10,10,True,True
20191010059,10,10,True,True
20191010079,10,10,True,True
20191010088,10,10,True,True
20191010116,10,10,True,True
20191010121,10,8,True,False
20191010124,10,10,True,True
20191010126,10,10,True,True
20191010151,10,10,True,True
20191010155,10,10,True,True
20191010159,10,10,True,True
20191010179,10,10,True,True
20191010185,10,10,True,True
20191010206,10,10,True,True
20191010208,10,10,True,True
20191010213,10,10,True,True
20191010218,10,10,True,True
20191010237,10,10,True,True
20191010241,10,10,True,True
20191010250,10,10,True,True
20191010271,10,10,True,True
20191010273,10,10,True,True
20191010278,10,5,True,False
20191010279,10,10,True,True
20191010281,10,10,True,True
20191010286,10,10,True,True
20191010289,10,10,True,True
20191010292,10,10,True,True
20191010296,10,10,True,True
20191010299,10,10,True,True
20191010305,10,10,True,True
20191010322,10,10,True,True
20191010328,10,10,True,True
20191010329,10,10,True,True
20191010335,10,10,True,True
20191010347,10,10,True,True
20191010350,10,10,True,True
20191010367,10,10,True,True
20191010394,10,10,True,True
20191010408,10,10,True,True
20191010411,10,10,True,True
20191010414,10,10,True,True
20191010418,10,10,True,True
20191010421,10,10,True,True
20191010430,10,10,True,True
20191010433,10,10,True,True
20191010448,10,10,True,True
20191010483,10,10,True,True
20191010484,10,10,True,True
20191010497,10,10,True,True
20191010506,10,10,True,True
20191010510,10,10,True,True
20191010512,10,10,True,True
20191010514,10,6,True,False
20191010516,10,10,True,True
20191010529,10,10,True,True
20191010532,10,10,True,True
20191010543,10,10,True,True
20191010555,10,10,True,True
20191010563,10,10,True,True
20191010564,10,10,True,True
20191010565,10,10,True,True
20191010567,10,10,True,True
20191010580,10,10,True,True
20191010582,10,10,True,True
20191010585,10,10,True,True
20191010593,10,10,True,True
20191010600,10,10,True,True
20191010603,10,10,True,True
20191010606,10,10,True,True
20191010609,10,10,True,True
20191010610,10,10,True,True
20191010611,10,10,True,True
20191010613,10,10,True,True
20191010619,10,10,True,True
20191010620,10,10,True,True
20191010628,10,10,True,True
20191010631,10,10,True,True
20191010640,10,10,True,True
20191010647,10,10,True,True
20191010699,10,10,True,True
20191010712,10,10,True,True
20191010724,10,10,True,True
20191010725,10,10,True,True
20191010733,10,10,True,True
20191010745,10,10,True,True
20191010749,10,10,True,True
20191010754,10,10,True,True
20191010755,10,10,True,True
20191010764,10,10,True,True
20191010782,10,10,True,True
20191010795,10,10,True,True
20191010801,10,10,True,True
20191010808,10,10,True,True
20191010818,10,10,True,True
20191010820,10,10,True,True
20191010821,10,10,True,True
20191010841,10,10,True,True
20191010843,10,10,True,True
20191010846,10,10,True,True
20191010862,10,10,True,True
20191010875,10,10,True,True
20191010878,10,10,True,True
20191010879,10,10,True,True
20191010881,10,10,True,True
20191010888,10,10,True,True
20191010896,10,10,True,True
