step_after_prefix,REAL,NSGA2_SIM_1,NSGA2_SIM_2,NSGA2_SIM_3,NSGA2_SIM_4,NSGA2_SIM_5,NSGA2_SIM_6,NSGA2_SIM_7,NSGA2_SIM_8,NSGA2_SIM_9,NSGA2_SIM_10
1,Evaluating Request (NO registered letter) / 00094,Pending Request for Reservation Closure / BOC,Pending Request for Reservation Closure / BOC,Pending Request for Reservation Closure / BOC,Pending Request for Reservation Closure / BOC,Pending Request for Reservation Closure / BOC,Pending Request for Reservation Closure / BOC,Pending Request for Reservation Closure / BOC,Pending Request for Reservation Closure / BOC,Pending Request for Reservation Closure / BOC,Pending Request for Reservation Closure / BOC
2,Service closure Request with network responsibility / 00094,Service closure Request with network responsibility / NotDef,Request deleted / NotDef,Service closure Request with network responsibility / 00641,Service closure Request with network responsibility / 00132,Evaluating Request (NO registered letter) / 00532,Service closure Request with network responsibility / 00037,Pending Request for Network Information / SDCTCC,Evaluating Request (NO registered letter) / 00753,Evaluating Request (WITH registered letter) / 00510,Service closure Request with network responsibility / 00341
3,Service closure Request with BO responsibility / BOC,Authorization Requested / 00629,,Authorization Requested / 00872,Authorization Requested / SB99,Service closure Request with network responsibility / 00200,Service closure Request with BO responsibility / BOC,Service closure Request with network responsibility / NotDef,Service closure Request with network responsibility / NotDef,Service closure Request with network responsibility / NotDef,Service closure Request with BO responsibility / BOC
4,Pending Request for Reservation Closure / BOC,Service closure Request with BO responsibility / BOC,,Service closure Request with BO responsibility / BOC,Service closure Request with BO responsibility / BOC,Service closure Request with BO responsibility / BOC,Pending Request for Reservation Closure / BOC,Authorization Requested / 00429,Authorization Requested / SB92,Authorization Requested / 00415,Pending Request for Reservation Closure / BOCSER
5,Pending Liquidation Request / BOC,Pending Request for Reservation Closure / BOC,,Pending Request for Reservation Closure / BOC,Pending Request for Reservation Closure / BOC,Pending Request for Reservation Closure / BOC,Pending Liquidation Request / BOC,Service closure Request with BO responsibility / BOC,Service closure Request with BO responsibility / BOC,Service closure Request with BO responsibility / BOC,Pending Liquidation Request / BOC
6,Request completed with account closure / BOC,Pending Liquidation Request / BOC,,Pending Liquidation Request / BOC,Pending Liquidation Request / BOC,Pending Liquidation Request / BOC,Request completed with account closure / BOC,Network Adjustment Requested / 00708,Pending Request for Reservation Closure / BOC,Pending Request for Reservation Closure / BOC,Request completed with account closure / BOC
7,,Request completed with account closure / BOCSER,,Request completed with account closure / BOC,Request completed with account closure / BOC,Request completed with account closure / BOC,,Pending Request for Reservation Closure / BOC,Pending Liquidation Request / BOC,Pending Liquidation Request / BOC,
8,,,,,,,,Pending Liquidation Request / BOC,Request completed with account closure / BOC,Request completed with account closure / BOCSER,
