case:concept:name,pred_outcome,pred_sigmoid_mm_time,pred_uncertainty
201810001660,,,
201810002650,0.4823240313349878,0.32949209718067796,0.10250086008455805
201810006512,0.5822835098550889,0.25205247088507854,0.15493617434531315
201810008108,,,
201810008268,0.27962578209839883,0.18224739778357213,0.1269227279331367
201810008485,,,
201810008899,,,
20181000902,,,
201810010740,0.8881284650652613,0.21427809585538365,0.1642928688298531
201810011081,0.8577856662767753,0.15891221271012226,0.1103627345474514
201810011583,0.884849004707421,0.16990399480505158,0.12047206657182277
20181012611,,,
20181013679,0.46100651677230103,0.3159610155806659,0.18996377626006108
201811000205,0.8988880294059485,0.2425971938851855,0.17697934497488324
201811001580,0.901283552154118,0.17536818558642564,0.1242917402467955
201811001889,0.8677919911463285,0.16977598160688215,0.05814910656080822
201811002881,0.8927171334694278,0.25643347323581345,0.18854455343980409
201811003327,,,
201811003911,0.8468031988345375,0.15965209921961435,0.10978861256312232
201811004163,0.8851089040005958,0.2018905896208783,0.11928097518626649
201811004205,0.8700717687594727,0.1651483299163666,0.1099504310325554
201811004338,,,
201811005226,0.7744201415225758,0.20526420950863425,0.15100278856818466
201811005422,,,
201811005747,,,
201811005954,0.9184931218744216,0.25643347323581345,0.18854455343980409
201811006467,,,
201811006674,0.5450048109016942,0.34674921946226045,0.19095291033310266
201811006982,,,
201811007401,0.2768599548746373,0.3382534640965543,0.19916024365721946
201811008100,0.8824702233189945,0.19601802676671953,0.08462566820043564
201811008330,0.4510004602384394,0.3499856010006348,0.11207481846015717
201811008338,0.5862360699427418,0.3522312746511006,0.187906693499081
201811008394,,,
201811008598,0.8130088177534354,0.20137507811820174,0.13834902481044192
201811008631,0.7640408794215224,0.20087590974350444,0.15371939624161196
201811008634,,,
201811009132,,,
201811009434,0.7858421617268262,0.1709137357496876,0.11468437127708378
201811009590,0.7797067693242209,0.07358036263973408,0.10157763578466412
201811009800,0.6516899394661749,0.16805851359558716,0.06541328722988624
201811010119,,,
201811010142,0.8283471649659975,0.057721920353012914,0.03321897034462817
201811010681,0.3703621286733917,0.3295186381482429,0.07764618103857512
201811010732,0.798405273106499,0.20137507811820174,0.13834902481044192
201811011699,0.8866067298256967,0.17856245483974578,0.12566394192058322
201811011715,0.8339299174547342,0.1707458992151547,0.06610558002730539
201811011742,0.8249496769472205,0.17644665144204463,0.12340669611275196
201811011907,,,
201811011916,0.820740144621568,0.2473528074351508,0.18025692446372318
201812000179,0.5941262399761421,0.3499856010006348,0.11207481846015717
201812000181,0.5941262399761421,0.3499856010006348,0.11207481846015717
201812000186,0.8572927978152072,0.1949478488980991,0.13510216563991864
201812000605,0.8867009110477903,0.18142477283638442,0.13120051074842823
201812000606,0.8449897988087594,0.19345227923409747,0.11385501636761702
201812000900,,,
201812002344,0.3648608988913066,0.30622933265128416,0.1803442957795173
201812002552,,,
201812002630,0.24086319235734122,0.35153496685509666,0.1825001647858306
201812002677,0.8712478859446618,0.17594145509026182,0.12499087661562606
201812002837,,,
201812002893,0.8522599688759992,0.20137507811820174,0.13834902481044192
201812003039,0.778462561825125,0.19805893284240067,0.13294771661803922
201812003088,,,
201812003287,,,
201812004065,0.7337354148448637,0.06066161647397835,0.06890301474045121
201812004155,,,
201812004198,,,
201812004271,0.8095460830291096,0.1564839199715085,0.10547669965772187
201812004422,,,
201812004433,0.8672335133067324,0.22161089829335137,0.09129082194968609
201812004478,0.7944365149157947,0.19272094887808178,0.13970565755543843
201812004552,0.8504753371264787,0.2255052467216106,0.17268552661017245
201812004625,0.8874022720731657,0.06552337746871566,0.06514169098876922
201812004772,0.4437453417429898,0.3584578944428644,0.0999826545402074
201812004817,,,
201812004871,,,
201812004921,,,
201812005259,0.7036206814413134,0.19717964485633382,0.0762658768829961
201812005350,0.7973442115728558,0.061232500187790424,0.03371453004005206
201812005402,0.7667654386080272,0.2088254266909449,0.14790715773854635
201812005434,0.8519970418505047,0.18362442242995014,0.13687330809893306
201812005461,0.880482903872383,0.2592629787085238,0.18914350640760705
201812005659,,,
201812005779,0.8425782331099458,0.21546977436938958,0.08927252179965342
201812005853,,,
201812005862,,,
201812005898,,,
201812006094,,,
201812006124,0.86042056438495,0.25643347323581345,0.18854455343980409
201812006485,,,
201812006628,0.744569706907524,0.15047359531574828,0.10172725316413742
201812006707,,,
201812006755,,,
201812006820,0.8744939144335055,0.2070101315331994,0.15983324306981686
201812006824,0.8766307833262382,0.19400475683003332,0.14622164858130046
201812007245,0.7900301718852173,0.17814682098756685,0.11615208443054859
201812007280,,,
201812007319,0.574743626166256,0.29006225845465144,0.16070065374281298
201812007397,0.023014783151854453,0.22659525172647604,0.18109506432008313
201812007439,,,
201812007654,0.848395861805338,0.16624421372160592,0.11402148979192339
201812007664,,,
201812007718,,,
201812007723,0.848320605858413,0.19949336675409418,0.13964682127998626
201812007727,0.4335229372449851,0.33808966271552365,0.10773466527455033
201812007780,,,
201812007788,,,
201812007839,0.8712478859446618,0.17594145509026182,0.12499087661562606
201812007853,,,
201812008090,,,
201812008149,,,
201812008346,,,
201812008642,0.8601288281178274,0.22232722292712714,0.17034857623553085
201812008657,,,
201812008694,0.6011352092749089,0.21875094469638892,0.08011687051221773
201812008702,,,
201812008708,,,
201812008800,0.9064105130683352,0.2174923412599173,0.07969402554158311
201812008953,0.7397608857381731,0.06848077181232085,0.07465278348995028
201812009363,,,
201812009485,,,
201812009515,0.8368146612413396,0.1773808937798686,0.1327910605656023
201812009556,0.8850993288353002,0.22081743881413807,0.17159391729572676
201812009573,,,
201812009645,0.5387651924779434,0.3662769354523147,0.20708438696405893
201812009682,,,
201812009703,0.9512235707766543,0.06692770224707244,0.05335567358633747
201812009725,,,
201812009750,0.672404214283012,0.19452841518067998,0.05344040966923501
201812009753,0.8942097439576316,0.2236875349561085,0.17089762311630638
20182005961,,,
20182009106,,,
20183007131,0.6410529996559599,0.054790103267602405,0.0310083178933863
20184001796,0.848320605858413,0.19949336675409418,0.13964682127998626
20185003342,,,
20186002647,,,
20186005840,0.7633498488605641,0.21541836840775777,0.08376095234347859
20186007767,0.8688258785751116,0.2036123296333305,0.15470289340919152
20187001795,0.6769690863073154,0.19805893284240067,0.13294771661803922
20187002397,,,
20187003190,,,
20187003641,0.9244640020149196,0.25643347323581345,0.18854455343980409
20187006392,,,
20187006846,0.8419589992056083,0.1651483299163666,0.1099504310325554
20187007250,,,
20187010782,0.8441770938874814,0.18030199663623686,0.13684788741610482
20188002087,0.80726413792134,0.17082821535028797,0.11159520570889804
20188002441,0.8688441500525336,0.22081743881413807,0.17159391729572676
20188002645,0.4869673970497736,0.3699343902395888,0.20661832687390463
20188005486,0.8902321662763164,0.17013371574046127,0.11528796164015781
20189001829,,,
20189003084,0.81765963889782,0.21717145597277943,0.16929560293661655
20189003486,0.8486949324031856,0.15965209921961435,0.10978861256312232
20189004803,0.8011420295844475,0.1758938764862697,0.07106647685750618
20189006540,0.7216755644537637,0.054790103267602405,0.0310083178933863
20189007102,0.8997459145175078,0.22081743881413807,0.17159391729572676
20189007821,0.8263197543388965,0.2268506614886014,0.15705698193115433
20189007982,,,
20189008206,0.8757772891033723,0.2116615005810579,0.1633256677228559
20189009645,,,
20191000037,,,
20191000127,,,
20191000242,0.8516714924879403,0.22568251702511147,0.17102313365088764
