case_id,n_valid_pairs,method,pop_size,n_generations,time_s,hv_ratio,igd,n_front_points
205912,228,nsga2,50.0,10.0,0.6063776016235352,1.0,0.0,7
206150,252,exhaustive,,,0.04249215126037598,1.0,0.0,3
206150,252,nsga2,10.0,3.0,0.09542465209960938,0.001205143553901477,0.5219442010194671,1
206150,252,nsga2,10.0,5.0,0.19562745094299316,0.0012176481992638142,0.044000802406252454,2
206150,252,nsga2,10.0,7.0,0.40601253509521484,0.0012176481992638142,0.044000802406252454,2
206150,252,nsga2,10.0,10.0,0.48051929473876953,1.0,0.0,3
206150,252,nsga2,20.0,3.0,0.10027837753295898,0.0012057418408698726,0.04681145870551853,2
206150,252,nsga2,20.0,5.0,0.19065070152282715,0.9999950643750672,0.044000802406252454,2
206150,252,nsga2,20.0,7.0,0.27586913108825684,1.0,0.0,3
206150,252,nsga2,20.0,10.0,0.4086592197418213,1.0,0.0,3
206150,252,nsga2,30.0,3.0,0.11259651184082031,0.024146496369245547,0.06618356390888197,3
206150,252,nsga2,30.0,5.0,0.19146084785461426,0.037139880909169816,0.04681145870551853,4
206150,252,nsga2,30.0,7.0,0.3833582401275635,0.8648638479290677,0.013906836104616918,3
206150,252,nsga2,30.0,10.0,0.49016571044921875,0.8648638479290677,0.013906836104616918,3
206150,252,nsga2,50.0,3.0,0.13451242446899414,0.0012176481992638142,0.044000802406252454,2
206150,252,nsga2,50.0,5.0,0.2966618537902832,1.0,0.0,3
206150,252,nsga2,50.0,7.0,0.45921945571899414,1.0,0.0,3
206150,252,nsga2,50.0,10.0,0.690605878829956,1.0,0.0,3
206865,260,exhaustive,,,0.04788064956665039,1.0,0.0,6
206865,260,nsga2,10.0,3.0,0.16395258903503418,0.3554682860483021,0.08178235036163167,3
206865,260,nsga2,10.0,5.0,0.20325016975402832,0.3554682860483021,0.08178235036163167,3
206865,260,nsga2,10.0,7.0,0.2733175754547119,0.3640125557939686,0.07838514607230104,4
206865,260,nsga2,10.0,10.0,0.36844301223754883,0.3554705893203134,0.07729630488929551,4
206865,260,nsga2,20.0,3.0,0.09675860404968262,0.23093326375247128,0.09036074292798829,3
206865,260,nsga2,20.0,5.0,0.19379472732543945,0.30583871127881945,0.08006815473337496,5
206865,260,nsga2,20.0,7.0,0.2641451358795166,0.18351860424089664,0.06802420861740001,4
206865,260,nsga2,20.0,10.0,0.36245250701904297,0.7206709697076417,0.05329664985090498,5
206865,260,nsga2,30.0,3.0,0.09558939933776855,0.13507290898762134,0.0747147786565878,5
206865,260,nsga2,30.0,5.0,0.19160676002502441,0.3585204157547841,0.05534740214963473,8
206865,260,nsga2,30.0,7.0,0.40413475036621094,0.9527468804756154,0.0011160381152731508,9
206865,260,nsga2,30.0,10.0,0.48555517196655273,1.0,0.0,6
206865,260,nsga2,50.0,3.0,0.11213970184326172,0.4038126437315208,0.05422085156577083,4
206865,260,nsga2,50.0,5.0,0.26911473274230957,0.7206693840386583,0.053854483289598694,4
206865,260,nsga2,50.0,7.0,0.3413124084472656,0.7206709697076417,0.05329664985090498,5
206865,260,nsga2,50.0,10.0,0.517770528793335,1.0,0.0,6
205274,269,exhaustive,,,0.025867223739624023,1.0,0.0,4
205274,269,nsga2,10.0,3.0,0.0869452953338623,0.07076000364403405,0.12120001494485702,3
205274,269,nsga2,10.0,5.0,0.1766805648803711,0.7722723826894708,0.03780971517157605,3
205274,269,nsga2,10.0,7.0,0.2999253273010254,0.8108879073096719,0.034511415741122424,4
205274,269,nsga2,10.0,10.0,0.33731555938720703,0.8108879073096719,0.034511415741122424,4
205274,269,nsga2,20.0,3.0,0.10065937042236328,0.048786022912859904,0.05984335399758256,3
205274,269,nsga2,20.0,5.0,0.15932679176330566,0.8167483262962685,0.03128232609844281,4
205274,269,nsga2,20.0,7.0,0.23781347274780273,0.8167483262962685,0.03128232609844281,4
205274,269,nsga2,20.0,10.0,0.3594014644622803,0.9420932374823299,0.004143883104714994,5
205274,269,nsga2,30.0,3.0,0.11625289916992188,0.07807910296295952,0.07274086765220246,4
205274,269,nsga2,30.0,5.0,0.16952085494995117,0.8096282793996961,0.03448909387333004,4
